요구사항ID,요구사항명,요구사항 정의,릴리스,우선순위,복잡도,세부내용·처리규칙,관련요구사항,산출물,근거·외부의존성,검증기준(인수조건),언제 실행되나 (시점·주기),어떻게 만드나 (구현 힌트),최종 변경·비고
FGC-FUN-011,현행 수수료 정책 조회·적용,DB에 미리 정규화되어 적재된 원수사 수수료율표·지급방식·시책과 GA 내부 지급규정을 기준일에 맞는 정책버전으로 조회·선택하고 예상 스케줄 계산에 적용해야 한다.,1차,M,상,"1차는 정책 등록 화면을 만들지 않고 조회·적용만 한다. 정책은 원수사→GA 예상 수입용과 GA→설계사 예상 지급용을 구분하며 보험회사, 상품, 계약일, 설계사 직급·조직, 수수료 항목, 회차, 기준금액, 정액/요율, 지급조건, 적용기간, 정책버전을 가진다. 지급기준 변경은 기존 정책을 덮어쓰지 않고 새 버전으로 생성하며 유효기간·승인근거·기초서류 버전을 보존한다. 파일 업로드·컬럼 매핑은 하지 않는다(COR-010).","FGC-FUN-005~009,FGC-FUN-018",업무규칙서/정책데이터사전/ERD/API명세서,"SRC-001,SRC-003,SRC-004,SRC-010,SRC-014,REG-22","동일 계약에 대해 기준일과 대상조건에 맞는 활성 정책 1건이 선택되고, 과거 계약·검증은 당시 정책버전을 계속 참조한다. 정책이 없거나 중복 활성된 경우 스케줄 생성을 막고 REVIEW_REQUIRED로 표시한다.",계약 등록·확정 또는 예상 스케줄 생성·재실행 시 자동 조회(실시간).,1차는 MyBatis 조회 전용 PolicyRepository와 PolicyResolver(적용 정책 선택기)를 사용한다. 금액·요율은 BigDecimal로 계산한다. 2차에는 FUN-017의 JPA/React 정책 관리로 확장한다.,v2.2.1: 지급기준 불변 버전·기초서류 근거 연결
FGC-FUN-012,"1,200% 검증기준 버전 관리","보험회사→GA와 GA→설계사 1,200% 검증에 쓰는 적용대상, 한도배수, 산입·제외 기준을 지급단계·적용일·버전별로 관리해야 한다.",1차,M,상,"룰셋에 적용 시작·종료일, 버전, 계약일 범위, 한도배수(기본 12), 지급단계(INSURER_TO_GA/GA_TO_FC), 적용상품·채널, 제외항목 정책과 상태를 저장한다. 두 지급단계 게이지는 분리하며 준법경영비 3% 공제는 보험회사→GA 게이지에만 적용한다. 과거 검증결과는 당시 룰셋 버전을 계속 참조하고 지급기준 변경은 신규 버전으로 생성한다.",FGC-FUN-009,업무규칙서/ERD/감사설계서,"SRC-001,SRC-002,SRC-003,SRC-014,REG-08~11,REG-19,REG-22","같은 계약이라도 보험회사→GA와 GA→설계사 게이지가 독립 계산되고, GA→설계사에는 준법경영비 3% 공제가 적용되지 않는다. 2026-07-01 전·후 샘플과 과거버전 재조회 결과가 기대값과 일치한다.",관리자가 검증기준을 변경할 때(실시간). 지급 건 검증과 월 검증 실행 때 자동 선택한다.,"cap_rule_set에 effective_from/to, multiplier, target_scope, payment_stage, product/channel_scope, exclusion_policy_version을 저장한다. 기존 버전은 수정하지 않는다.","v2.2.1: 지급단계별 1,200% 게이지·REG-19/22 반영"
FGC-FUN-013,"1,200%룰 포함·제외 항목 설정","1,200% 한도에 넣을 금액과 제외할 금액을 항목명만이 아니라 지급 목적·조건·계약 귀속과 근거에 따라 설정해야 한다.",1차,M,상,보험회사→GA와 GA→설계사 게이지를 구분한다. 모집종사자에게 직·간접 귀속되는 수수료·시책·정착지원금·공통비 등은 명칭이 아니라 지급목적·수령인·모집실적 연계·계약귀속을 기준으로 분류한다. 제4-32조제7항의 음성녹음비·방송비·신인활동지원비는 요건과 증빙을 충족한 금액만 제외할 수 있다. 준법경영비 3% 공제는 보험회사→GA 게이지에만 적용하고 GA→설계사에는 적용하지 않는다. 경력설계사 정착지원금은 REG-20의 월별 계약귀속 규칙을 적용하며 일반 공통비는 REG-06A~06C의 회사별 합리적 안분정책을 참조한다.,"FGC-FUN-009,FGC-FUN-012",업무규칙서/정책설계서,"SRC-001,SRC-002,SRC-003,SRC-014,REG-06A~06C,REG-09~11,REG-20~22","두 게이지의 포함·제외 결과가 분리되고, 준법경영비가 GA→설계사에서 공제되지 않는다. 제7항 제외항목은 증빙 없이는 제외되지 않으며 정착지원금·공통비 귀속근거가 없으면 지급확정이 차단되고 REVIEW_REQUIRED가 생성된다.",관리자가 정책 화면에서 설정(실시간). 검증 계산(FUN-031·033)이 이 설정을 읽는다.,"item × cap_rule_set 매핑에 payment_stage, inclusion_status, exclusion_type, evidence_ref, attribution_method, allocation_policy_version을 저장한다.",v2.2.1: 공통비·정착지원금·준법경영비 규칙 정정
FGC-FUN-014,4년·7년 법정 분급 규칙 설정,분급(수수료를 여러 해에 나눠 주는 제도)의 회차 수·월 요율 같은 지급 규칙을 설정해야 한다.,2차,M,상,"분급 룰셋은 계약 체결연도만으로 선택하지 않고 상품 판매개시일, 기초서류 버전·작성/변경일, 판매채널, TM·방송채널 특례 여부, 적용 수수료체계 코드를 사용한다. 4년·7년의 회차 수, 월 요율, 매월 동일 금액 조건, 장기유지수수료, 계약체결비용 한도와 경과조치를 버전 데이터로 관리한다. 규정 문언만으로 자동 확정하기 어려운 경계사례는 REVIEW_REQUIRED로 처리한다.","FGC-FUN-012,FGC-FUN-062,FGC-FUN-064",정책설계서/업무규칙서,"SRC-001,SRC-003,SRC-005,SRC-014,REG-01,REG-03,REG-04,REG-19",계약일이 같더라도 상품 판매개시일·기초서류 버전·채널이 다른 샘플에는 서로 다른 적용체계가 선택된다. 4년·7년 스케줄의 회차·월금액·총액이 룰셋과 일치하고 경계사례는 자동 확정되지 않는다.,2차 정책 등록·승인 시 설정하고 스케줄 생성·검증에서 자동 적용.,"ProductFeeRegimeResolver가 product_sales_start_date, product_doc_version, channel_special_rule, fee_regime_code를 조합해 룰셋을 선택한다.",v2.2.1: REG-19 상품·기초서류 기준 적용례 반영
FGC-FUN-015,계약상태별 지급조건 설정,계약 상태(정상·실효·해지 등)에 따라 지급할지 말지 조건을 설정해야 한다.,2차,M,상,"예: 유지 중인 달에만 지급(REG-03 유지관리수수료 원칙), 실효 시 보류, 부활 시 재개 조건.",FGC-FUN-012,상태전이도/업무규칙서,"SRC-004,SRC-005",계약 상태가 실효 또는 해지로 변경되면 정책에 따라 미래 지급상태가 자동 변경된다.,정책 설정은 실시간. 판정은 스케줄·정산 처리 때 자동.,2차. 상태×지급여부 매핑 데이터 + 스케줄 상태 전환 로직에서 참조.,1차→2차 이동 ? 1차는 실효·해지 시 미확정 지급 건 보류(FUN-028) 고정 규칙만 사용
FGC-FUN-016,정책 근거자료 연결,정책마다 어느 규정 몇 조 때문인지 근거를 붙여 저장해야 한다.,2차,S,중,"REG-xx(규제조문표 ID)·SRC-xx(근거자료 ID)·URL과 함께 현행규정·개정고시·시행세칙·FAQ·회사정책의 상태 태그를 정책에 연결한다. 상품정책에는 상품위원회 승인일, 승인문서 참조, 기초서류 버전, 판매개시일, 판매보류·개정·중지 상태를 선택적으로 연결한다. FGC는 상품위원회의 법정 심의·의결 자체를 대체하지 않는다.",FGC-FUN-012,정책근거목록/감사설계서,"SRC-001,SRC-002,SRC-003,SRC-014,REG-22,REG-24",정책버전에서 REG/SRC 근거와 상태 태그를 조회할 수 있고 상품위원회 관련 메타데이터가 연결된다. FGC 화면에는 법정 심의를 대체하지 않는 참조정보임이 표시된다.,정책 등록·수정 시(실시간).,1차: cap_rule_set.evidence_ref 문자열. 2차: 근거자료 엔티티와 다대다 연결 화면.,v2.2.1: REG-24 상품위원회 메타데이터 연결
FGC-FUN-017,수수료 정책 등록·검토·승인·활성화,2차에서는 수수료 정책을 등록·수정하고 작성자와 승인자를 분리하여 승인된 정책만 계산에 사용되게 해야 한다.,2차,S,상,"정책 초안→검토→승인→활성→종료 상태를 관리한다. 현행 회사별 지급정책, 4년·7년 법정 분급규칙, 계약체결비용 한도, 유지관리수수료 조건을 동일한 불변 버전관리 체계로 관리한다. 상품위원회 승인일·문서참조·기초서류 버전·판매개시일·판매보류/개정/중지 상태를 연결할 수 있으며 과거 적용 정책은 삭제하거나 덮어쓰지 않는다.","FGC-FUN-011,FGC-FUN-012,FGC-FUN-014",업무흐름도/권한매트릭스/화면정의서/API명세서,"SRC-006,SRC-014,REG-01~11,REG-22,REG-24",미승인 정책은 계산에 사용되지 않고 승인·활성·종료 이력과 변경 전후 값이 감사로그에 남는다. 상품위원회 메타데이터가 있는 정책은 승인근거와 기초서류 버전을 함께 조회할 수 있다.,정책 신규·변경 요청 발생 시(실시간).,2차 JPA 엔티티와 React 관리화면. 상태전이와 승인권한을 서버에서 검증하고 정책버전은 불변 레코드로 보존한다.,v2.2.1: 지급기준 변경통제·상품위원회 근거 보강
FGC-FUN-018,보험계약 수기 등록·수정,정산 대상 보험계약을 화면에서 직접 등록·수정할 수 있어야 한다.,1차,M,중,"계약번호, 보험회사, 상품, 월납보험료, 계약일, 설계사, 계약상태를 관리한다. 필수값·형식 검증을 통과해야 저장된다.","FGC-FUN-006,FGC-FUN-007,FGC-FUN-008",화면정의서/API명세서/ERD,"SRC-004,SRC-005",필수값과 형식 검증을 통과한 계약만 저장되고 계약번호 중복이 차단된다.,새 계약이 생길 때(실시간). 대량 기초 데이터는 시드 스크립트로 미리 적재한다(DAR-011).,입력 폼 + 서버 검증. 계약번호는 DB에도 UNIQUE 제약(같은 값 중복 저장 금지)을 건다. 저장 후 한도 게이지 화면으로 이어지면 데모 흐름이 좋다.,"재정의 ? CSV 업로드(구 FUN-019) 삭제로, 화면 등록 + 시드 적재가 계약 입력의 유일한 경로"
FGC-FUN-025,보험계약 상태 생명주기 관리,계약 상태(청약→정상→실효→부활→해지→만기)를 정해진 규칙대로만 바꿔야 한다.,2차,M,상,"허용된 상태 변화만 가능하다(예: 해지→정상 불가). 실효 = 보험료 미납으로 효력 정지, 부활 = 효력 회복. 변경일과 원인을 기록한다.",FGC-FUN-018,상태전이도/도메인모델/단위테스트,"SRC-004,SRC-005",허용되지 않은 상태전이는 거절되고 모든 정상 전이는 이벤트 이력으로 남는다.,상태 이벤트가 등록될 때(실시간).,"상태 전이표(어떤 상태에서 어디로 갈 수 있는지 표)를 자바 enum으로 정의하고, 서비스에서 검사 후 저장. 어기면 오류 메시지.",v2.1: 2차 이관 ? 1차 계약은 상태값을 시드/수기 입력하되 상태머신·자동보류는 구현하지 않음
FGC-FUN-026,계약상태 이벤트 등록·수집,실효·해지·부활처럼 돈에 영향을 주는 사건을 화면에서 등록해야 한다.,2차,M,중,"사건 종류, 효력일(사건이 효력을 갖는 날), 접수일, 사유를 기록한다.",FGC-FUN-025,화면정의서/인터페이스정의서,"SRC-004,SRC-005",이벤트 등록 후 계약 상태와 미래 지급 처리 결과가 일관되게 변경된다.,담당자가 사건을 알게 됐을 때(실시간).,이벤트 테이블 INSERT → 같은 트랜잭션(전부 성공 아니면 전부 취소되는 한 묶음 처리)에서 계약 상태 변경(FUN-025)과 지급 건 보류(FUN-028)까지 호출.,v2.1: 2차 이관 ? 1차 계약은 상태값을 시드/수기 입력하되 상태머신·자동보류는 구현하지 않음
FGC-FUN-027,계약상태 변경 이력 조회,계약별 상태 변경 전·후 값과 처리자를 시간순으로 볼 수 있어야 한다.,2차,S,하,효력일과 시스템 처리일을 구분해 보여준다.,FGC-FUN-026,화면정의서/감사설계서,SRC-006,계약 상세에서 전체 상태변경 이력이 누락 없이 시간순으로 표시된다.,상시 조회.,이벤트 테이블을 시간순 정렬해 계약 상세 화면 하단에 표로 표시.,v2.1: 2차 이관 ? 1차 계약은 상태값을 시드/수기 입력하되 상태머신·자동보류는 구현하지 않음
FGC-FUN-028,실효·해지 시 미확정 지급 건 보류,"계약이 실효·해지·청약철회되면, 아직 확정되지 않은 지급 예정 건을 자동으로 보류(잠시 멈춤)해야 한다.",2차,M,상,이미 확정·지급된 건은 지우지 않는다. 조정·환수 검토는 2차(FUN-054)에서 다룬다.,"FGC-FUN-015,FGC-FUN-025,FGC-FUN-026",업무규칙서/프로그램설계서/테스트결과서,"SRC-004,SRC-005","계약 실효·해지 후 미확정 지급 건이 보류 상태로 바뀌고, 기존 확정·지급 이력은 그대로 유지된다.",해지·실효 이벤트 등록 직후 자동(실시간).,이벤트 저장 트랜잭션 안에서 해당 계약의 미확정 지급 건 상태를 HOLD로 UPDATE. 물리 삭제 금지.,v2.1: 2차 이관 ? 1차 계약은 상태값을 시드/수기 입력하되 상태머신·자동보류는 구현하지 않음
FGC-FUN-029,부활 시 지급 재개 판단,"실효됐던 계약이 부활하면, 규칙과 날짜에 따라 지급을 다시 시작할지 판단해야 한다.",2차,S,상,보류된 회차를 무조건 되살리지 않는다. 정책 버전과 부활일 기준으로 재계산·승인한다.,"FGC-FUN-015,FGC-FUN-028",업무규칙서/테스트케이스,SRC-005,부활 이벤트 적용 후 지급 재개 대상과 비대상이 정책에 따라 구분되고 근거가 표시된다.,부활 이벤트 등록 시(실시간).,2차. 상태별 지급조건(FUN-015)을 참조해 재개 대상/비대상 목록과 근거를 표시.,
FGC-FUN-030,초년도 수수료 한도 계산,"적용 계약 1건의 초년도 모집수수료 한도를 계산해야 하며, 이 계산엔진은 2026년 현행 계약뿐 아니라 2027년 4년 분급·2029년 7년 분급 계약의 첫 1년에도 동일하게 적용되어야 한다.",1차,M,상,1차 데모 대상은 2026-07-01 이후 체결된 월납 보장성보험 합성계약으로 제한하고 기본식은 월납보험료×12로 한다. 표준해약공제액의 80% 이상을 공제하는 대상 상품은 상품·납입기간·채널별 예상 해약환급률표의 12차월 값을 한도 판정에 합산하고 적용 표 버전을 저장한다. 2차에서는 4년·7년 분급 스케줄 중 계약차월 1~12에 귀속되는 산입 대상 금액을 같은 한도와 비교한다. 적용대상·기준기간·예외는 룰셋 데이터로 관리한다.,"FGC-FUN-012,FGC-FUN-013,FGC-FUN-018,FGC-FUN-036~038",업무규칙서/계산명세서/단위테스트,"SRC-001,SRC-002,SRC-003,SRC-014,REG-08,REG-09,REG-23","월납 100,000원 일반 샘플의 기본 한도는 1,200,000원이다. 80% 공제 대상 샘플은 올바른 예상 해약환급률표의 12차월 값과 버전이 판정에 반영되고, 2026·2027·2029 샘플 모두 같은 초년도 한도엔진으로 검증된다.","계약 등록·수정 시 자동 계산(실시간). 월 1,200% 검증 실행에서도 같은 룰셋으로 재계산한다.",CapCalculator는 기본 한도를 계산하고 ProductRefundRateResolver가 상품코드·납입기간·채널·기준일에 맞는 12차월 예상 환급액과 표 버전을 제공한다. 금액은 BigDecimal.,v2.2.1: REG-23 예상 해약환급률표 연계
FGC-FUN-031,한도 포함 보상 합산,개별 계약에 귀속된 한도 산입 지급액을 모두 합산해야 한다. 설계사·지점 합계는 모니터링 지표일 뿐 규제 판정 기준이 아니다.,1차,M,상,"각 지급 건은 귀속 계약, 설계사, 산입여부, 귀속금액을 가져야 한다. 경력설계사 정착지원금은 지급월이 아니라 해당 설계사가 신계약을 모집한 월의 신계약에 월 단위로 귀속하고(8월 지급분 → 7월 모집 신계약), 지급 시기를 13차월 이후로 이연해도 귀속월은 변하지 않으며, 위촉 당월 무실적 선지급분은 최초 신계약 모집월의 신계약에 귀속한다. 일반 공통비는 사전 승인된 회사별 안분정책의 계약별 배부결과를 사용하며 정책버전·배부기준·배부 전후 총액과 근거를 저장한다.","FGC-FUN-009,FGC-FUN-013,FGC-FUN-030,FGC-FUN-065",계산명세서/단위테스트,"SRC-001,SRC-002,SRC-014,SRC-025,SRC-029,REG-06A~06C,REG-09~11,REG-20~22","동일 설계사의 여러 계약이 섞이지 않고 계약별 산입 합계가 계산된다. 정착지원금의 모집월 귀속·무실적 이월 규칙이 재현되고, 지급을 13차월 이후로 이연한 지급 건도 모집월 기준으로 귀속되어 초년도 게이지에 산입되며, 일반 공통비는 배부정책 버전과 배부 전후 총액이 없으면 REVIEW_REQUIRED로 처리된다.","지급 건 등록·수정·확정 시(실시간) + 월 1,200% 검증 실행 시 전체 재합산(일괄처리).","contract_id+agent_id+first_year_window+payment_stage로 합산한다. allocation_id, allocation_policy_version, attribution_month, allocated_amount, evidence_ref를 저장한다.",v2.2.1: REG-20 정착지원금 귀속·REG-06C 공통비 배부 반영 / 2026-08-12: REG-20 귀속 기준월을 지급월→모집월로 교정 (SRC-025 Q7-1 원문 대조)
FGC-FUN-032,계약별 한도 사용량 조회,"계약별 한도, 산입 사용액, 잔여액, 사용률과 항목별 근거를 조회해야 한다.",1차,M,중,"90% 이상은 주의, 100% 초과는 위반으로 표시한다. 설계사·조직별 화면은 계약별 결과를 묶어 보여주는 모니터링 화면이다.","FGC-FUN-030,FGC-FUN-031",화면정의서/API명세서,"SRC-004,SRC-005","계약 상세의 사용액이 항목별 산입 합계와 일치하고, 설계사 집계에서 계약별 초과 건이 숨겨지지 않는다.",상시 조회(대시보드·상세 화면).,조회 쿼리 + 게이지 바(진행률 막대). 상세 화면에 항목별 내역 표.,v2.1: 계약별 규제판정 기준 명확화
FGC-FUN-033,지급 전 한도 사전검증,"지급 건을 확정하기 전에, 이 돈을 주면 한도를 넘는지 미리 검사하고 넘으면 막아야 한다.",1차,M,상,"지급 건 확정 또는 스케줄 확정 전에 계약차월 1~12의 산입합계를 검사한다. 초과 시 확정 상태 전환을 차단하고 예외 건(FUN-034)을 만든다. 관리자가 단순 승인으로 규제 위반을 강제 통과시킬 수 없다. 2027·2029 룰셋에서도 4년·7년 전체 스케줄과 별도로 첫 1년 1,200% 게이트를 반드시 통과해야 한다.","FGC-FUN-030,FGC-FUN-031,FGC-FUN-036~038,FGC-FUN-065",업무규칙서/API명세서/테스트결과서,"SRC-002,SRC-003,REG-08",2026 현행 스케줄과 2027·2029 분급 스케줄 모두 초년도 한도 초과 건은 DRAFT/REJECTED로 보존되지만 CONFIRMED로 전환되지 않는다. 관리자도 근거 없는 강제확정을 할 수 없다.,"① 지급 건 확정 버튼 클릭 시(실시간) ② 월 1,200% 검증 실행에서 일괄 재검증.",저장과 확정을 분리한다. 초안 저장은 허용하고 confirm() 트랜잭션에서 검증 후 상태전환을 막는다. 예외는 같은 트랜잭션에서 생성한다.,"v2.2: 모든 룰셋의 첫 1년에 1,200% 사전게이트 적용"
FGC-FUN-034,한도 위반 예외 건 생성,한도를 넘었거나(위반) 90%에 가까워진(주의) 건을 예외 목록에 자동으로 올려야 한다.,1차,M,중,"예외 종류, 초과 금액, 관련 계약·설계사·룰셋 버전, 계산 근거, 해결조치(정정·감액·취소·이연)를 저장한다. '승인하여 초과지급' 상태는 제공하지 않는다.","FGC-FUN-032,FGC-FUN-033",예외처리설계서/화면정의서,SRC-005,"초과 시도 1건당 중복 없는 예외가 생성되고, 해결 완료 전 지급확정이 불가능하다.",FUN-033 검증이 실패·경고를 낼 때 자동(실시간·배치 공통).,예외 자연키는 지급건ID+검증유형+룰셋버전. 처리상태는 OPEN/RESOLVED만 두고 해결조치 코드를 필수화한다.,v2.1: 초과 승인 경로 제거
FGC-FUN-035,한도 계산 근거 설명,한도 결과를 입력값 → 계산식 → 항목별 금액 → 최종 합계까지 풀어서 보여줘야 한다.,1차,S,중,"한도 결과를 입력값 → 적용 룰셋 → 계산식 → 항목별 귀속금액 → 최종 합계까지 풀어서 보여준다. 1차는 룰셋의 근거ID 문자열을 표시하고, 전용 근거자료 연결 화면은 2차에서 구현한다.","FGC-FUN-012,FGC-FUN-013,FGC-FUN-030,FGC-FUN-031",화면정의서/계산명세서,"SRC-004,SRC-005",사용자가 계약 한 건의 한도 결과를 입력값부터 최종금액까지 재계산할 수 있는 수준으로 확인한다.,상시 조회(계약 상세의 계산 근거 영역).,"검증 시점의 입력·중간값을 JSON(구조를 가진 텍스트)으로 저장해 두고, 화면에서 표로 풀어서 표시.",
